PLZ	Bestimmungsort	Location	Latitude	Longitude
1010	Wien	Wien 1010, Austria	48.2083537	16.372504199999998
1020	Wien	Wien 1020, Austria	48.2083537	16.372504199999998
1030	Wien	Wien 1030, Austria	48.2083537	16.372504199999998
1040	Wien	Wien 1040, Austria	48.2083537	16.372504199999998
1050	Wien	Wien 1050, Austria	48.2083537	16.372504199999998
1060	Wien	Wien 1060, Austria	48.2083537	16.372504199999998
1070	Wien	Wien 1070, Austria	48.2083537	16.372504199999998
1080	Wien	Wien 1080, Austria	48.2083537	16.372504199999998
1090	Wien	Wien 1090, Austria	48.2083537	16.372504199999998
1100	Wien	Wien 1100, Austria	48.2083537	16.372504199999998
1110	Wien	Wien 1110, Austria	48.2083537	16.372504199999998
1120	Wien	Wien 1120, Austria	48.2083537	16.372504199999998
1130	Wien	Wien 1130, Austria	48.2083537	16.372504199999998
1140	Mauerbach	Mauerbach 1140, Austria	48.2533971	16.163412041749467
1140	Purkersdorf	Purkersdorf 1140, Austria	48.2076724	16.1772068
1140	Wien	Wien 1140, Austria	48.2083537	16.372504199999998
1150	Wien	Wien 1150, Austria	48.2083537	16.372504199999998
1160	Wien	Wien 1160, Austria	48.2083537	16.372504199999998
1170	Wien	Wien 1170, Austria	48.2083537	16.372504199999998
1180	Wien	Wien 1180, Austria	48.2083537	16.372504199999998
1190	Wien	Wien 1190, Austria	48.2560564	16.3417087
1200	Wien	Wien 1200, Austria	48.2083537	16.372504199999998
1210	Langenzersdorf	Langenzersdorf 1210, Austria	48.309635899999996	16.3572556
1210	Wien	Wien 1210, Austria	48.263437599999996	16.4403242
1220	Wien	Wien 1220, Austria	48.2083537	16.372504199999998
1230	Wien	Wien 1230, Austria	48.2083537	16.372504199999998
1300	Wien Flughafen	Wien Flughafen 1300, Austria	48.1219823	16.562438
2000	Hausleiten	Hausleiten 2000, Austria	48.394399799999995	16.102733100000002
2000	Sierndorf	Sierndorf 2000, Austria	48.428725899999996	16.166824
2000	Stockerau	Stockerau 2000, Austria	48.3846124	16.2076303
2002	Großmugl	Großmugl 2002, Austria	48.50762571320729	16.231699942266545
2003	Leitzersdorf	Leitzersdorf 2003, Austria	48.4205577	16.2464411
2003	Niederhollabrunn	Niederhollabrunn 2003, Austria	48.449149	16.3003618
2003	Stockerau	Stockerau 2003, Austria	48.3846124	16.2076303
2003	Wiesen	Wiesen 2003, Austria	48.4030624	16.258337
2004	Niederhollabrunn	Niederhollabrunn 2004, Austria	48.449149	16.3003618
2011	Leitzersdorf	Leitzersdorf 2011, Austria	48.4205577	16.2464411
2011	Sierndorf	Sierndorf 2011, Austria	48.428725899999996	16.166824
2013	Göllersdorf	Göllersdorf 2013, Austria	48.487783	16.126958
2014	Breitenwaida	Breitenwaida 2014, Austria	48.514268900000005	16.070420600000002
2014	Dietersdorf	Dietersdorf 2014, Austria	48.530384999999995	16.058455
2014	Kleedorf	Kleedorf 2014, Austria	48.50630820000001	16.0561581
2014	Puch	Puch 2014, Austria	48.498328799999996	16.0426279
2020	Aspersdorf	Aspersdorf 2020, Austria	48.587478600000004	16.096372
2020	Grabern	Grabern 2020, Austria	48.60930595	16.028285504009887
2020	Groß	Groß 2020, Austria	47.8719559	16.9745798
2020	Hollabrunn	Hollabrunn 2020, Austria	48.54884285	16.071909806521813
2020	Kleinstelzendorf	Kleinstelzendorf 2020, Austria	48.5608531	16.010242694033824
2020	Magersdorf	Magersdorf 2020, Austria	48.5604131	16.0973337
2020	Mariathal	Mariathal 2020, Austria	48.569339500000005	16.115167800000002
2020	Oberfellabrunn	Oberfellabrunn 2020, Austria	48.56051775	16.014236676215234
2020	Raschala	Raschala 2020, Austria	48.5455938	16.086447099999997
2020	Schöngrabern	Schöngrabern 2020, Austria	48.601857700000004	16.0646855
2020	Sonnberg	Sonnberg 2020, Austria	48.544686999999996	16.070888399999998
2020	Suttenbrunn	Suttenbrunn 2020, Austria	48.5845886	16.067066399999998
2020	Wieselsfeld	Wieselsfeld 2020, Austria	48.575762	16.1231701
2020	Wolfsbrunn	Wolfsbrunn 2020, Austria	48.5424223	16.0309296
2022	Immendorf	Immendorf 2022, Austria	48.6469852	16.127597599999998
2022	Wullersdorf	Wullersdorf 2022, Austria	48.6359474	16.110662276529702
2023	Nappersdorf-Kammersdorf	Nappersdorf-Kammersdorf 2023, Austria	48.62662529999999	16.191756599999998
2023	Wullersdorf	Wullersdorf 2023, Austria	48.6359474	16.110662276529702
2024	Mailberg	Mailberg 2024, Austria	48.6730424	16.1841711
2031	Altenmarkt im Thale	Altenmarkt im Thale 2031, Austria	48.5808162	16.194287900000003
2031	Eggendorf im Thale	Eggendorf im Thale 2031, Austria	48.580953799999996	16.1724735
2031	Weyerburg	Weyerburg 2031, Austria	48.5706954	16.1861055
2032	Gnadendorf	Gnadendorf 2032, Austria	48.6151094	16.3975971
2032	Großmugl	Großmugl 2032, Austria	48.497682899999994	16.2303134
2032	Hollabrunn	Hollabrunn 2032, Austria	48.54884285	16.071909806521813
2033	Nappersdorf-Kammersdorf	Nappersdorf-Kammersdorf 2033, Austria	48.6279251	16.1879651
2034	Großharras	Großharras 2034, Austria	48.663507200000005	16.248055100000002
2041	Wullersdorf	Wullersdorf 2041, Austria	48.6278726	16.1002381
2042	Grabern	Grabern 2042, Austria	48.60930595	16.028285504009887
2042	Guntersdorf	Guntersdorf 2042, Austria	48.648854299999996	16.048285399999997
2042	Wullersdorf	Wullersdorf 2042, Austria	48.6359474	16.110662276529702
2051	Zellerndorf	Zellerndorf 2051, Austria	48.6947179	15.9571636
2052	Pernersdorf	Pernersdorf 2052, Austria	48.6998138	16.0132605
2053	Haugsdorf	Haugsdorf 2053, Austria	48.71472885	16.069388894531592
2053	Pernersdorf	Pernersdorf 2053, Austria	48.70953145	16.02740981565927
2054	Alberndorf im Pulkautal	Alberndorf im Pulkautal 2054, Austria	48.7027562	16.0999208
2054	Haugsdorf	Haugsdorf 2054, Austria	48.71472885	16.069388894531592
2054	Unterretzbach	Unterretzbach 2054, Austria	48.7660054	16.0024953
2061	Hadres	Hadres 2061, Austria	48.7089619	16.135164320462255
2062	Seefeld-Kadolz	Seefeld-Kadolz 2062, Austria	48.716569899999996	16.1754518
2063	Großharras	Großharras 2063, Austria	48.70491726410565	16.23695207764336
2064	Laa an der Thaya	Laa an der Thaya 2064, Austria	48.7218933	16.3916766
2070	Retz	Retz 2070, Austria	48.756966299999995	15.9511119
2070	Retzbach	Retzbach 2070, Austria	48.76481205	16.013269728935853
2070	Unterretzbach	Unterretzbach 2070, Austria	48.7660054	16.0024953
2073	Schrattenthal	Schrattenthal 2073, Austria	48.716828799999995	15.9086893
2073	Zellerndorf	Zellerndorf 2073, Austria	48.6946184	15.9589781
2074	Retz	Retz 2074, Austria	48.75053735	15.971124516198895
2074	Unterretzbach	Unterretzbach 2074, Austria	48.7660054	16.0024953
2081	Niederfladnitz	Niederfladnitz 2081, Austria	48.796262	15.8957086
2081	Retz	Retz 2081, Austria	48.75053735	15.971124516198895
2081	Weitersfeld	Weitersfeld 2081, Austria	48.781716100000004	15.8115924
2082	Hardegg	Hardegg 2082, Austria	48.844528499999996	15.860190300000003
2083	Hardegg	Hardegg 2083, Austria	48.80786825	15.846883288157894
2084	Weitersfeld	Weitersfeld 2084, Austria	48.781716100000004	15.8115924
2091	Langau	Langau 2091, Austria	48.8322066	15.712488199999997
2091	Weitersfeld	Weitersfeld 2091, Austria	48.781716100000004	15.8115924
